06.05.2012 1:22:22     SEND PING    00 FF 00 00 00 06 01 03 00 00 00 00 
06.05.2012 1:22:23     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:23     GET DATA    00 02 00 00 00 05 01 03 02 00 CF 
06.05.2012 1:22:23     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:23     GET DATA    00 01 00 00 00 07 01 03 04 00 8C 00 00 
06.05.2012 1:22:23     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:23     GET DATA    00 00 00 00 00 05 01 03 02 00 46 
06.05.2012 1:22:23     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:23     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:23     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:23     GET DATA    00 04 00 00 00 05 01 03 02 A4 5E 
06.05.2012 1:22:23     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:23     GET DATA    00 03 00 00 00 07 01 03 04 01 18 00 00 
06.05.2012 1:22:23     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:24     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:24     GET DATA    00 02 00 00 00 05 01 03 02 00 D5 
06.05.2012 1:22:24     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:24     GET DATA    00 00 00 00 00 05 01 03 02 00 47 
06.05.2012 1:22:24     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:24     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:24     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:24     GET DATA    00 04 00 00 00 05 01 03 02 AA 63 
06.05.2012 1:22:24     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:24     GET DATA    00 03 00 00 00 07 01 03 04 01 1C 00 00 
06.05.2012 1:22:24     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:24     GET DATA    00 02 00 00 00 05 01 03 02 00 D5 
06.05.2012 1:22:24     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:24     GET DATA    00 01 00 00 00 07 01 03 04 00 8E 00 00 
06.05.2012 1:22:24     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:24     GET DATA    00 00 00 00 00 05 01 03 02 00 47 
06.05.2012 1:22:24     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:24     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:24     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:24     GET DATA    00 04 00 00 00 05 01 03 02 AA 63 
06.05.2012 1:22:24     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:24     GET DATA    00 03 00 00 00 07 01 03 04 01 1C 00 00 
06.05.2012 1:22:25     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:25     GET DATA    00 02 00 00 00 05 01 03 02 00 D8 
06.05.2012 1:22:25     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:25     GET DATA    00 01 00 00 00 07 01 03 04 00 90 00 00 
06.05.2012 1:22:25     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:25     GET DATA    00 00 00 00 00 05 01 03 02 00 48 
06.05.2012 1:22:25     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:25     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:25     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:25     GET DATA    00 04 00 00 00 05 01 03 02 B0 68 
06.05.2012 1:22:25     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:25     GET DATA    00 03 00 00 00 07 01 03 04 01 20 00 00 
06.05.2012 1:22:26     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:26     GET DATA    00 02 00 00 00 05 01 03 02 00 DB 
06.05.2012 1:22:26     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:26     GET DATA    00 01 00 00 00 07 01 03 04 00 92 00 00 
06.05.2012 1:22:26     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:26     GET DATA    00 00 00 00 00 05 01 03 02 00 49 
06.05.2012 1:22:26     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:26     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:26     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:26     GET DATA    00 04 00 00 00 05 01 03 02 B6 6D 
06.05.2012 1:22:26     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:26     GET DATA    00 03 00 00 00 07 01 03 04 01 24 00 00 
06.05.2012 1:22:27     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:27     GET DATA    00 02 00 00 00 05 01 03 02 00 DE 
06.05.2012 1:22:27     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:27     GET DATA    00 01 00 00 00 07 01 03 04 00 94 00 00 
06.05.2012 1:22:27     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:27     GET DATA    00 00 00 00 00 05 01 03 02 00 4A 
06.05.2012 1:22:27     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:27     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:27     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:27     GET DATA    00 04 00 00 00 05 01 03 02 BC 72 
06.05.2012 1:22:27     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:27     GET DATA    00 03 00 00 00 07 01 03 04 01 28 00 00 
06.05.2012 1:22:28     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:28     GET DATA    00 02 00 00 00 05 01 03 02 00 E1 
06.05.2012 1:22:28     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:28     GET DATA    00 01 00 00 00 07 01 03 04 00 96 00 00 
06.05.2012 1:22:28     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:28     GET DATA    00 00 00 00 00 05 01 03 02 00 4B 
06.05.2012 1:22:28     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:28     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:28     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:28     GET DATA    00 04 00 00 00 05 01 03 02 C2 77 
06.05.2012 1:22:28     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:28     GET DATA    00 03 00 00 00 07 01 03 04 01 2C 00 00 
06.05.2012 1:22:29     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:29     GET DATA    00 02 00 00 00 05 01 03 02 00 E4 
06.05.2012 1:22:29     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:29     GET DATA    00 01 00 00 00 07 01 03 04 00 98 00 00 
06.05.2012 1:22:29     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:29     GET DATA    00 00 00 00 00 05 01 03 02 00 4C 
06.05.2012 1:22:29     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:29     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:29     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:29     GET DATA    00 04 00 00 00 05 01 03 02 C8 7C 
06.05.2012 1:22:29     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:29     GET DATA    00 03 00 00 00 07 01 03 04 01 30 00 00 
06.05.2012 1:22:30     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:30     GET DATA    00 02 00 00 00 05 01 03 02 00 E7 
06.05.2012 1:22:30     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:30     GET DATA    00 01 00 00 00 07 01 03 04 00 9A 00 00 
06.05.2012 1:22:30     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:30     GET DATA    00 00 00 00 00 05 01 03 02 00 4D 
06.05.2012 1:22:30     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:30     GET DATA    00 05 00 00 00 03 01 83 02 
